case_id,part_id,part_type,line,activity,area,resource,timestamp,duration_minutes
WO-0219,PART-1886,Rotor,Line-C,Shipment,SHIP,Dock-01,2024-06-02 05:35:00,0
WO-0241,PART-2426,Rotor,Line-B,Assembly Rework,ASM,Cell-02,2024-06-02 05:35:00,45
WO-0268,PART-1709,Valve Body,Line-C,Surface Prep,PREP,Prep-03,2024-06-02 06:10:00,38
WO-0080,PART-6992,Manifold,Line-B,Packaging,PKG,Pack-02,2024-06-02 06:26:00,13
WO-0241,PART-2426,Rotor,Line-B,Quality Check,QC,QA-05,2024-06-02 06:43:00,27
WO-0268,PART-1709,Valve Body,Line-C,Assembly,ASM,Cell-02,2024-06-02 07:08:00,114
WO-0241,PART-2426,Rotor,Line-B,Packaging,PKG,Pack-02,2024-06-02 07:16:00,15
WO-0241,PART-2426,Rotor,Line-B,Material Hold,HOLD,Planner,2024-06-02 07:36:00,438
WO-0080,PART-6992,Manifold,Line-B,Shipment,SHIP,Dock-01,2024-06-02 07:45:00,0
WO-0268,PART-1709,Valve Body,Line-C,Quality Check,QC,QA-05,2024-06-02 09:17:00,32
WO-0268,PART-1709,Valve Body,Line-C,Packaging,PKG,Pack-02,2024-06-02 09:58:00,13
WO-0067,PART-7878,Bracket,Line-B,Cutting,CUT,Laser-01,2024-06-02 10:18:00,58
WO-0268,PART-1709,Valve Body,Line-C,Material Hold,HOLD,Planner,2024-06-02 10:20:00,331
WO-0135,PART-5240,Valve Body,Line-A,Cutting,CUT,Laser-01,2024-06-02 11:12:00,28
WO-0067,PART-7878,Bracket,Line-B,CNC Machining,CNC,CNC-19,2024-06-02 11:38:00,95
WO-0135,PART-5240,Valve Body,Line-A,CNC Machining,CNC,CNC-12,2024-06-02 11:52:00,45
WO-0072,PART-8179,Valve Body,Line-A,Cutting,CUT,Laser-02,2024-06-02 12:43:00,43
WO-0179,PART-2198,Rotor,Line-C,Cutting,CUT,Laser-02,2024-06-02 12:47:00,57
WO-0135,PART-5240,Valve Body,Line-A,Surface Prep,PREP,Prep-01,2024-06-02 12:53:00,16
WO-0067,PART-7878,Bracket,Line-B,Surface Prep,PREP,Prep-01,2024-06-02 13:22:00,37
WO-0041,PART-9864,Valve Body,Line-C,Cutting,CUT,Laser-01,2024-06-02 13:22:00,38
WO-0135,PART-5240,Valve Body,Line-A,Assembly,ASM,Cell-04,2024-06-02 13:29:00,95
WO-0072,PART-8179,Valve Body,Line-A,CNC Machining,CNC,CNC-19,2024-06-02 13:46:00,34
WO-0179,PART-2198,Rotor,Line-C,CNC Machining,CNC,CNC-12,2024-06-02 13:56:00,75
WO-0067,PART-7878,Bracket,Line-B,Assembly,ASM,Cell-01,2024-06-02 14:10:00,94
WO-0018,PART-4228,Rotor,Line-B,Cutting,CUT,Laser-02,2024-06-02 14:12:00,59
WO-0041,PART-9864,Valve Body,Line-C,CNC Machining,CNC,CNC-15,2024-06-02 14:25:00,41
WO-0072,PART-8179,Valve Body,Line-A,Surface Prep,PREP,Prep-03,2024-06-02 14:26:00,36
WO-0245,PART-6339,Bracket,Line-C,Cutting,CUT,Laser-02,2024-06-02 14:44:00,45
WO-0041,PART-9864,Valve Body,Line-C,Surface Prep,PREP,Prep-01,2024-06-02 15:11:00,39
WO-0072,PART-8179,Valve Body,Line-A,Assembly,ASM,Cell-02,2024-06-02 15:15:00,87
WO-0135,PART-5240,Valve Body,Line-A,Assembly Rework,ASM,Cell-01,2024-06-02 15:18:00,56
WO-0018,PART-4228,Rotor,Line-B,CNC Machining,CNC,CNC-19,2024-06-02 15:34:00,45
WO-0179,PART-2198,Rotor,Line-C,Surface Prep,PREP,Prep-01,2024-06-02 15:34:00,35
WO-0245,PART-6339,Bracket,Line-C,CNC Machining,CNC,CNC-12,2024-06-02 15:38:00,109
WO-0067,PART-7878,Bracket,Line-B,Assembly Rework,ASM,Cell-01,2024-06-02 16:05:00,47
WO-0041,PART-9864,Valve Body,Line-C,Assembly,ASM,Cell-04,2024-06-02 16:06:00,61
WO-0179,PART-2198,Rotor,Line-C,Assembly,ASM,Cell-04,2024-06-02 16:14:00,76
WO-0241,PART-2426,Rotor,Line-B,Shipment,SHIP,Dock-01,2024-06-02 16:15:00,0
WO-0268,PART-1709,Valve Body,Line-C,Shipment,SHIP,Dock-01,2024-06-02 16:26:00,0
WO-0135,PART-5240,Valve Body,Line-A,Quality Check,QC,QA-02,2024-06-02 16:28:00,47
WO-0018,PART-4228,Rotor,Line-B,Surface Prep,PREP,Prep-03,2024-06-02 16:30:00,31
WO-0103,PART-8790,Rotor,Line-A,Cutting,CUT,Laser-01,2024-06-02 16:36:00,54
WO-0072,PART-8179,Valve Body,Line-A,Assembly Rework,ASM,Cell-01,2024-06-02 16:46:00,61
WO-0067,PART-7878,Bracket,Line-B,Quality Check,QC,QA-02,2024-06-02 17:12:00,46
WO-0041,PART-9864,Valve Body,Line-C,Assembly Rework,ASM,Cell-01,2024-06-02 17:18:00,26
WO-0018,PART-4228,Rotor,Line-B,Assembly,ASM,Cell-02,2024-06-02 17:24:00,92
WO-0135,PART-5240,Valve Body,Line-A,Packaging,PKG,Pack-01,2024-06-02 17:28:00,16
WO-0179,PART-2198,Rotor,Line-C,Assembly Rework,ASM,Cell-02,2024-06-02 17:34:00,37
WO-0103,PART-8790,Rotor,Line-A,CNC Machining,CNC,CNC-12,2024-06-02 17:37:00,70
WO-0245,PART-6339,Bracket,Line-C,Surface Prep,PREP,Prep-03,2024-06-02 17:46:00,20
WO-0041,PART-9864,Valve Body,Line-C,Quality Check,QC,QA-05,2024-06-02 17:56:00,23
WO-0072,PART-8179,Valve Body,Line-A,Quality Check,QC,QA-05,2024-06-02 18:05:00,43
WO-0245,PART-6339,Bracket,Line-C,Assembly,ASM,Cell-02,2024-06-02 18:20:00,48
WO-0067,PART-7878,Bracket,Line-B,Packaging,PKG,Pack-02,2024-06-02 18:21:00,12
WO-0135,PART-5240,Valve Body,Line-A,Shipment,SHIP,Dock-01,2024-06-02 18:23:00,0
WO-0179,PART-2198,Rotor,Line-C,Quality Check,QC,QA-05,2024-06-02 18:28:00,48
WO-0041,PART-9864,Valve Body,Line-C,Packaging,PKG,Pack-02,2024-06-02 18:32:00,21
WO-0103,PART-8790,Rotor,Line-A,Surface Prep,PREP,Prep-01,2024-06-02 18:55:00,33
WO-0072,PART-8179,Valve Body,Line-A,Packaging,PKG,Pack-02,2024-06-02 19:00:00,30
WO-0042,PART-3950,Pump Housing,Line-A,Cutting,CUT,Laser-02,2024-06-02 19:07:00,35
WO-0018,PART-4228,Rotor,Line-B,Quality Check,QC,QA-02,2024-06-02 19:10:00,38
WO-0245,PART-6339,Bracket,Line-C,Quality Check,QC,QA-05,2024-06-02 19:16:00,57
WO-0179,PART-2198,Rotor,Line-C,Packaging,PKG,Pack-01,2024-06-02 19:37:00,19
WO-0103,PART-8790,Rotor,Line-A,Assembly,ASM,Cell-02,2024-06-02 19:52:00,145
WO-0072,PART-8179,Valve Body,Line-A,Shipment,SHIP,Dock-01,2024-06-02 19:52:00,0
WO-0067,PART-7878,Bracket,Line-B,Shipment,SHIP,Dock-01,2024-06-02 19:56:00,0
WO-0018,PART-4228,Rotor,Line-B,Packaging,PKG,Pack-02,2024-06-02 19:56:00,23
WO-0041,PART-9864,Valve Body,Line-C,Shipment,SHIP,Dock-01,2024-06-02 20:01:00,0
WO-0042,PART-3950,Pump Housing,Line-A,CNC Machining,CNC,CNC-12,2024-06-02 20:02:00,48
WO-0245,PART-6339,Bracket,Line-C,Packaging,PKG,Pack-02,2024-06-02 20:28:00,28
WO-0253,PART-1447,Rotor,Line-B,Cutting,CUT,Laser-02,2024-06-02 21:03:00,37
WO-0042,PART-3950,Pump Housing,Line-A,Surface Prep,PREP,Prep-03,2024-06-02 21:06:00,35
WO-0179,PART-2198,Rotor,Line-C,Shipment,SHIP,Dock-01,2024-06-02 21:06:00,0
WO-0018,PART-4228,Rotor,Line-B,Shipment,SHIP,Dock-01,2024-06-02 21:14:00,0
WO-0253,PART-1447,Rotor,Line-B,CNC Machining,CNC,CNC-15,2024-06-02 21:46:00,108
WO-0245,PART-6339,Bracket,Line-C,Shipment,SHIP,Dock-01,2024-06-02 21:47:00,0
WO-0042,PART-3950,Pump Housing,Line-A,Assembly,ASM,Cell-04,2024-06-02 21:57:00,72
WO-0062,PART-3112,Bracket,Line-C,Cutting,CUT,Laser-01,2024-06-02 22:16:00,41
WO-0103,PART-8790,Rotor,Line-A,Quality Check,QC,QA-02,2024-06-02 22:21:00,39
WO-0220,PART-9980,Manifold,Line-B,Cutting,CUT,Laser-01,2024-06-02 22:27:00,28
WO-0042,PART-3950,Pump Housing,Line-A,Quality Check,QC,QA-05,2024-06-02 23:11:00,49
WO-0220,PART-9980,Manifold,Line-B,CNC Machining,CNC,CNC-12,2024-06-02 23:12:00,101
WO-0103,PART-8790,Rotor,Line-A,Packaging,PKG,Pack-02,2024-06-02 23:20:00,17
WO-0062,PART-3112,Bracket,Line-C,CNC Machining,CNC,CNC-19,2024-06-02 23:20:00,119
WO-0253,PART-1447,Rotor,Line-B,Surface Prep,PREP,Prep-03,2024-06-02 23:44:00,42
WO-0042,PART-3950,Pump Housing,Line-A,Packaging,PKG,Pack-01,2024-06-03 00:23:00,27
WO-0253,PART-1447,Rotor,Line-B,Assembly,ASM,Cell-01,2024-06-03 00:28:00,134
WO-0155,PART-3999,Rotor,Line-C,Cutting,CUT,Laser-02,2024-06-03 00:46:00,39
WO-0103,PART-8790,Rotor,Line-A,Shipment,SHIP,Dock-01,2024-06-03 00:52:00,0
WO-0220,PART-9980,Manifold,Line-B,Surface Prep,PREP,Prep-01,2024-06-03 01:10:00,27
WO-0155,PART-3999,Rotor,Line-C,CNC Machining,CNC,CNC-15,2024-06-03 01:37:00,77
WO-0062,PART-3112,Bracket,Line-C,Surface Prep,PREP,Prep-01,2024-06-03 01:42:00,44
WO-0042,PART-3950,Pump Housing,Line-A,Shipment,SHIP,Dock-01,2024-06-03 01:48:00,0
WO-0220,PART-9980,Manifold,Line-B,Assembly,ASM,Cell-04,2024-06-03 01:56:00,118
WO-0002,PART-4527,Rotor,Line-A,Cutting,CUT,Laser-02,2024-06-03 02:39:00,42
WO-0062,PART-3112,Bracket,Line-C,Assembly,ASM,Cell-02,2024-06-03 02:48:00,125
WO-0029,PART-9041,Manifold,Line-A,Cutting,CUT,Laser-02,2024-06-03 02:49:00,35
WO-0253,PART-1447,Rotor,Line-B,Assembly Rework,ASM,Cell-04,2024-06-03 03:03:00,36
WO-0155,PART-3999,Rotor,Line-C,Surface Prep,PREP,Prep-03,2024-06-03 03:14:00,24
WO-0002,PART-4527,Rotor,Line-A,CNC Machining,CNC,CNC-19,2024-06-03 03:24:00,88
WO-0155,PART-3999,Rotor,Line-C,Assembly,ASM,Cell-01,2024-06-03 03:43:00,100
WO-0029,PART-9041,Manifold,Line-A,CNC Machining,CNC,CNC-15,2024-06-03 03:47:00,104
WO-0253,PART-1447,Rotor,Line-B,Quality Check,QC,QA-05,2024-06-03 04:04:00,29
WO-0220,PART-9980,Manifold,Line-B,Quality Check,QC,QA-02,2024-06-03 04:12:00,35
WO-0253,PART-1447,Rotor,Line-B,Packaging,PKG,Pack-02,2024-06-03 04:46:00,15
WO-0220,PART-9980,Manifold,Line-B,Packaging,PKG,Pack-02,2024-06-03 04:51:00,18
WO-0002,PART-4527,Rotor,Line-A,Surface Prep,PREP,Prep-03,2024-06-03 04:57:00,44
WO-0062,PART-3112,Bracket,Line-C,Assembly Rework,ASM,Cell-01,2024-06-03 05:11:00,48
WO-0253,PART-1447,Rotor,Line-B,Manual Repair,ASM,Cell-02,2024-06-03 05:25:00,60
WO-0002,PART-4527,Rotor,Line-A,Assembly,ASM,Cell-02,2024-06-03 05:45:00,110
WO-0155,PART-3999,Rotor,Line-C,Assembly Rework,ASM,Cell-04,2024-06-03 05:45:00,62
WO-0029,PART-9041,Manifold,Line-A,Surface Prep,PREP,Prep-03,2024-06-03 05:48:00,32
WO-0062,PART-3112,Bracket,Line-C,Quality Check,QC,QA-02,2024-06-03 06:12:00,39
WO-0293,PART-4781,Pump Housing,Line-A,Cutting,CUT,Laser-01,2024-06-03 06:23:00,51
WO-0029,PART-9041,Manifold,Line-A,Assembly,ASM,Cell-04,2024-06-03 06:35:00,135
WO-0220,PART-9980,Manifold,Line-B,Shipment,SHIP,Dock-01,2024-06-03 06:44:00,0
WO-0253,PART-1447,Rotor,Line-B,Shipment,SHIP,Dock-01,2024-06-03 06:46:00,0
WO-0062,PART-3112,Bracket,Line-C,Packaging,PKG,Pack-02,2024-06-03 06:59:00,20
WO-0094,PART-4943,Pump Housing,Line-A,Cutting,CUT,Laser-01,2024-06-03 07:06:00,23
WO-0155,PART-3999,Rotor,Line-C,Quality Check,QC,QA-05,2024-06-03 07:08:00,24
WO-0293,PART-4781,Pump Housing,Line-A,CNC Machining,CNC,CNC-19,2024-06-03 07:21:00,78
WO-0155,PART-3999,Rotor,Line-C,Packaging,PKG,Pack-01,2024-06-03 07:40:00,26
WO-0062,PART-3112,Bracket,Line-C,Shipment,SHIP,Dock-01,2024-06-03 07:54:00,0
WO-0094,PART-4943,Pump Housing,Line-A,CNC Machining,CNC,CNC-15,2024-06-03 07:54:00,35
WO-0002,PART-4527,Rotor,Line-A,Quality Check,QC,QA-05,2024-06-03 07:57:00,59
WO-0094,PART-4943,Pump Housing,Line-A,Surface Prep,PREP,Prep-01,2024-06-03 08:45:00,22
WO-0293,PART-4781,Pump Housing,Line-A,Surface Prep,PREP,Prep-01,2024-06-03 09:02:00,25
WO-0029,PART-9041,Manifold,Line-A,Assembly Rework,ASM,Cell-04,2024-06-03 09:02:00,47
WO-0094,PART-4943,Pump Housing,Line-A,Assembly,ASM,Cell-04,2024-06-03 09:10:00,57
WO-0002,PART-4527,Rotor,Line-A,Packaging,PKG,Pack-01,2024-06-03 09:16:00,16
WO-0155,PART-3999,Rotor,Line-C,Shipment,SHIP,Dock-01,2024-06-03 09:17:00,0
WO-0293,PART-4781,Pump Housing,Line-A,Assembly,ASM,Cell-04,2024-06-03 09:38:00,119
WO-0259,PART-4578,Bracket,Line-C,Cutting,CUT,Laser-01,2024-06-03 10:01:00,26
WO-0029,PART-9041,Manifold,Line-A,Quality Check,QC,QA-05,2024-06-03 10:05:00,37
WO-0094,PART-4943,Pump Housing,Line-A,Quality Check,QC,QA-05,2024-06-03 10:18:00,34
WO-0002,PART-4527,Rotor,Line-A,Shipment,SHIP,Dock-01,2024-06-03 10:22:00,0
WO-0259,PART-4578,Bracket,Line-C,CNC Machining,CNC,CNC-19,2024-06-03 10:31:00,39
WO-0029,PART-9041,Manifold,Line-A,Packaging,PKG,Pack-01,2024-06-03 10:52:00,17
WO-0153,PART-5631,Rotor,Line-C,Cutting,CUT,Laser-02,2024-06-03 11:02:00,37
WO-0094,PART-4943,Pump Housing,Line-A,Packaging,PKG,Pack-02,2024-06-03 11:12:00,29
WO-0259,PART-4578,Bracket,Line-C,Surface Prep,PREP,Prep-03,2024-06-03 11:35:00,23
WO-0293,PART-4781,Pump Housing,Line-A,Quality Check,QC,QA-05,2024-06-03 11:42:00,24
WO-0153,PART-5631,Rotor,Line-C,CNC Machining,CNC,CNC-19,2024-06-03 11:49:00,63
WO-0029,PART-9041,Manifold,Line-A,Shipment,SHIP,Dock-01,2024-06-03 11:59:00,0
WO-0259,PART-4578,Bracket,Line-C,Assembly,ASM,Cell-01,2024-06-03 12:00:00,103
WO-0094,PART-4943,Pump Housing,Line-A,Shipment,SHIP,Dock-01,2024-06-03 12:18:00,0
WO-0293,PART-4781,Pump Housing,Line-A,Packaging,PKG,Pack-02,2024-06-03 12:22:00,16
WO-0153,PART-5631,Rotor,Line-C,Surface Prep,PREP,Prep-03,2024-06-03 13:16:00,45
WO-0259,PART-4578,Bracket,Line-C,Quality Check,QC,QA-02,2024-06-03 14:05:00,60
WO-0153,PART-5631,Rotor,Line-C,Assembly,ASM,Cell-04,2024-06-03 14:09:00,59
WO-0293,PART-4781,Pump Housing,Line-A,Shipment,SHIP,Dock-01,2024-06-03 14:15:00,0
